ID,DATE,DAY,ID_WEEK_DAY,MONTH,ID_MONTH,YEAR,ID_QUARTER
546,2015-04-10,10,5,4,4,2015,2
547,2015-04-13,13,1,4,4,2015,2
548,2015-04-14,14,2,4,4,2015,2
549,2015-04-15,15,3,4,4,2015,2
550,2015-04-16,16,4,4,4,2015,2
551,2015-04-17,17,5,4,4,2015,2
552,2015-04-20,20,1,4,4,2015,2
553,2015-04-21,21,2,4,4,2015,2
554,2015-04-22,22,3,4,4,2015,2
555,2015-04-23,23,4,4,4,2015,2
556,2015-04-24,24,5,4,4,2015,2
557,2015-04-27,27,1,4,4,2015,2
558,2015-04-28,28,2,4,4,2015,2
559,2015-04-29,29,3,4,4,2015,2
560,2015-04-30,30,4,4,4,2015,2
561,2015-05-01,1,5,5,5,2015,2
562,2015-05-04,4,1,5,5,2015,2
563,2015-05-05,5,2,5,5,2015,2
564,2015-05-06,6,3,5,5,2015,2
565,2015-05-07,7,4,5,5,2015,2
566,2015-05-08,8,5,5,5,2015,2
567,2015-05-11,11,1,5,5,2015,2
568,2015-05-12,12,2,5,5,2015,2
569,2015-05-13,13,3,5,5,2015,2
570,2015-05-14,14,4,5,5,2015,2
571,2015-05-15,15,5,5,5,2015,2
572,2015-05-18,18,1,5,5,2015,2
573,2015-05-19,19,2,5,5,2015,2
574,2015-05-20,20,3,5,5,2015,2
575,2015-05-21,21,4,5,5,2015,2
576,2015-05-22,22,5,5,5,2015,2
577,2015-05-26,26,2,5,5,2015,2
578,2015-05-27,27,3,5,5,2015,2
579,2015-05-28,28,4,5,5,2015,2
580,2015-05-29,29,5,5,5,2015,2
581,2015-06-01,1,1,6,6,2015,2
582,2015-06-02,2,2,6,6,2015,2
583,2015-06-03,3,3,6,6,2015,2
584,2015-06-04,4,4,6,6,2015,2
585,2015-06-05,5,5,6,6,2015,2
586,2015-06-08,8,1,6,6,2015,2
587,2015-06-09,9,2,6,6,2015,2
588,2015-06-10,10,3,6,6,2015,2
589,2015-06-11,11,4,6,6,2015,2
590,2015-06-12,12,5,6,6,2015,2
591,2015-06-15,15,1,6,6,2015,2
592,2015-06-16,16,2,6,6,2015,2
593,2015-06-17,17,3,6,6,2015,2
594,2015-06-18,18,4,6,6,2015,2
595,2015-06-19,19,5,6,6,2015,2
596,2015-06-22,22,1,6,6,2015,2
597,2015-06-23,23,2,6,6,2015,2
598,2015-06-24,24,3,6,6,2015,2
599,2015-06-25,25,4,6,6,2015,2
600,2015-06-26,26,5,6,6,2015,2
601,2015-06-29,29,1,6,6,2015,2
602,2015-06-30,30,2,6,6,2015,2
603,2015-07-01,1,3,7,7,2015,3
604,2015-07-02,2,4,7,7,2015,3
605,2015-07-06,6,1,7,7,2015,3
606,2015-07-07,7,2,7,7,2015,3
607,2015-07-08,8,3,7,7,2015,3
608,2015-07-09,9,4,7,7,2015,3
609,2015-07-10,10,5,7,7,2015,3
610,2015-07-13,13,1,7,7,2015,3
611,2015-07-14,14,2,7,7,2015,3
612,2015-07-15,15,3,7,7,2015,3
613,2015-07-16,16,4,7,7,2015,3
614,2015-07-17,17,5,7,7,2015,3
615,2015-07-20,20,1,7,7,2015,3
616,2015-07-21,21,2,7,7,2015,3
617,2015-07-22,22,3,7,7,2015,3
618,2015-07-23,23,4,7,7,2015,3
619,2015-07-24,24,5,7,7,2015,3
620,2015-07-27,27,1,7,7,2015,3
621,2015-07-28,28,2,7,7,2015,3
622,2015-07-29,29,3,7,7,2015,3
623,2015-07-30,30,4,7,7,2015,3
624,2015-07-31,31,5,7,7,2015,3
